PAGES 2k ID,ocean 2k ID,preceded by,superseded by,archive type,reference 1 doi,reference 2 doi,original data URL,lat (°),long (°),elevation (m),site name,Country/Ocean,min year,max year,resolution (yr),proxy,variable name,units,climate variable detail,seasonality,direction,QC comments,QC certification,link to data at WDC-paleo
Asi_078,,,,tree,10.1007/s00382-012-1611-x,,https://www.ncdc.noaa.gov/paleo/study/14188,35.07,100.35,2600,MQACJP,China,1082,2001,1,TRW,trsgi,NA,air@surface,summer,positive,Elevation estimated from GoogleEarth; rounded to 100 m,"Ed Cook, Kevin J. Anchukaitis",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-MQACJP.PAGES2k.2013.txt
Asi_079,,,,tree,10.1007/s00382-012-1611-x,,https://www.ncdc.noaa.gov/paleo/study/14888,27.58,99.35,100,CHIN037,China,1429,2005,1,TRW,trsgi,NA,air@surface,summer,positive,Elevation estimated from GoogleEarth; rounded to 100 m,"Ed Cook, Kevin J. Anchukaitis",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CHIN037.Fan.2013.txt
Asi_080,,,,tree,10.1007/s00382-012-1611-x,,https://www.ncdc.noaa.gov/paleo/study/14889,27.58,99.28,4100,CHIN038,China,1542,2005,1,TRW,trsgi,NA,air@surface,summer,positive,Elevation estimated from GoogleEarth; rounded to 100 m,"Ed Cook, Kevin J. Anchukaitis",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CHIN038.Fan.2013.txt
Asi_081,,,,tree,10.1007/s00382-012-1611-x,,https://www.ncdc.noaa.gov/paleo/study/14908,28.03,99.02,3400,CHIN039,China,1489,2005,1,TRW,trsgi,NA,air@surface,summer,positive,Elevation estimated from GoogleEarth; rounded to 100 m,"Ed Cook, Kevin J. Anchukaitis",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CHIN039.Fan.2013.txt
Asi_082,,,,tree,10.1007/s00382-012-1611-x,,https://www.ncdc.noaa.gov/paleo/study/14909,28.03,98.98,3500,CHIN040,China,1393,2005,1,TRW,trsgi,NA,air@surface,summer,positive,Elevation estimated from GoogleEarth; rounded to 100 m,"Ed Cook, Kevin J. Anchukaitis",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CHIN040.Fan.2013.txt
Asi_083,,,,tree,10.1007/s00382-012-1611-x,,https://www.ncdc.noaa.gov/paleo/study/14910,27.88,98.4,2900,CHIN041,China,1530,2005,1,TRW,trsgi,NA,air@surface,summer,positive,Elevation estimated from GoogleEarth; rounded to 100 m,"Ed Cook, Kevin J. Anchukaitis",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CHIN041.Fan.2013.txt
Asi_084,,,,tree,10.1007/s00382-012-1611-x,,https://www.ncdc.noaa.gov/paleo/study/15132,37.47,97.23,6700,CHIN050,China,843,2001,1,TRW,trsgi,NA,air@surface,summer,positive,Elevation estimated from GoogleEarth; rounded to 100 m,"Ed Cook, Kevin J. Anchukaitis",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CHIN050.Shao.2013.txt
Asi_085,,,,tree,10.1007/s00382-012-1611-x,,https://www.ncdc.noaa.gov/paleo/study/15133,37.47,97.22,3000,CHIN051,China,828,2001,1,TRW,trsgi,NA,air@surface,summer,positive,Elevation estimated from GoogleEarth; rounded to 100 m,"Ed Cook, Kevin J. Anchukaitis",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CHIN051.Shao.2013.txt
Asi_086,,,,tree,10.1007/s00382-012-1611-x,,https://www.ncdc.noaa.gov/paleo/study/15134,37.45,97.53,2060,CHIN052,China,404,2002,1,TRW,trsgi,NA,air@surface,summer,positive,,"Ed Cook, Kevin J. Anchukaitis",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CHIN052.Shao.2013.txt
Asi_087,,,,tree,10.1007/s00382-012-1611-x,,https://www.ncdc.noaa.gov/paleo/study/15135,37.43,98.05,4600,CHIN053,China,451,2002,1,TRW,trsgi,NA,air@surface,summer,positive,Elevation estimated from GoogleEarth; rounded to 100 m,"Ed Cook, Kevin J. Anchukaitis",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CHIN053.Shao.2013.txt
