ID,Location Name,Latitude,Longitude,Date,Annual Rainfall (mm),Annual Avg Rainfall (mm)
127,ALICEDALE SOUTH AFRI(SOUTH AFRICA),-33.32N,26.08E,1882-9-01,396.8,408.8284
128,ALICEDALE SOUTH AFRI(SOUTH AFRICA),-33.32N,26.08E,1883-9-01,248.2,408.8284
130,CRADOCK - MUN SOUTH AFRI(SOUTH AFRICA),-32.17N,25.62E,1882-9-01,344.0,328.9064
131,CRADOCK - MUN SOUTH AFRI(SOUTH AFRICA),-32.17N,25.62E,1883-9-01,304.0,328.9064
132,CRADOCK - MUN SOUTH AFRI(SOUTH AFRICA),-32.17N,25.62E,1884-9-01,239.0,328.9064
134,GRAHAMSTOWN (TNK) SOUTH AFRI(SOUTH AFRICA),-33.30N,26.53E,1883-9-01,585.2,697.4341
136,FORT BEAUFORT (TNK) SOUTH AFRI(SOUTH AFRICA),-32.78N,26.63E,1882-9-01,417.7,509.2006
137,FORT BEAUFORT (TNK) SOUTH AFRI(SOUTH AFRICA),-32.78N,26.63E,1883-9-01,430.9,509.2006
139,KINGWILLIAMSTOWN SOUTH AFRI(SOUTH AFRICA),-32.80N,27.40E,1882-9-01,463.0,584.4332
140,KINGWILLIAMSTOWN SOUTH AFRI(SOUTH AFRICA),-32.80N,27.40E,1883-9-01,428.0,584.4332
141,KINGWILLIAMSTOWN SOUTH AFRI(SOUTH AFRICA),-32.80N,27.40E,1884-9-01,365.0,584.4332
142,KEI ROAD (POL) SOUTH AFRI(SOUTH AFRICA),-32.70N,27.55E,1882-9-01,601.8,780.7505
144,KEI ROAD (POL) SOUTH AFRI(SOUTH AFRICA),-32.70N,27.55E,1884-9-01,508.4,780.7505
145,ROYAL OBSERVATORY SOUTH AFRI(SOUTH AFRICA),-33.93N,18.48E,1882-9-01,872.2,620.612
146,ROYAL OBSERVATORY SOUTH AFRI(SOUTH AFRICA),-33.93N,18.48E,1883-9-01,599.6,620.612
147,ROYAL OBSERVATORY SOUTH AFRI(SOUTH AFRICA),-33.93N,18.48E,1884-9-01,836.8,620.612
148,GROOT DRAKENSTEIN SOUTH AFRI(SOUTH AFRICA),-33.80N,19.00E,1882-9-01,553.0,800.9298
149,GROOT DRAKENSTEIN SOUTH AFRI(SOUTH AFRICA),-33.80N,19.00E,1883-9-01,436.0,800.9298
150,GROOT DRAKENSTEIN SOUTH AFRI(SOUTH AFRICA),-33.80N,19.00E,1884-9-01,526.0,800.9298
151,WELLINGTON MUN SOUTH AFRI(SOUTH AFRICA),-33.65N,19.00E,1882-9-01,720.0,681.3339
152,WELLINGTON MUN SOUTH AFRI(SOUTH AFRICA),-33.65N,19.00E,1883-9-01,550.0,681.3339
153,WELLINGTON MUN SOUTH AFRI(SOUTH AFRICA),-33.65N,19.00E,1884-9-01,595.0,681.3339
154,MALMESBURY (TNK) SOUTH AFRI(SOUTH AFRICA),-33.45N,18.73E,1882-9-01,502.7,458.4584
